index	1	0.004498688082194065
United_States_09d4	2	0.00036034334002095524
Geographic_coordinate_system	3	0.0002912554628707849
Biography	4	0.00024685990151734064
2007	5	0.00021132687030550834
France	6	0.00015249057476635376
2008	7	0.0001341245260115925
Biological_classification	8	0.00013392472412431956
United_Kingdom_5ad7	9	0.00013285868695459083
Music_genre	10	0.00013062030067882723
Record_label	11	0.0001292394632679347
England	12	0.0001167702284598243
2006	13	0.00011548248279225598
Canada	14	0.00010032321214573935
2005	15	9.275078894802963e-05
Internet_Movie_Database_7ea7	16	9.192430810996091e-05
Binomial_nomenclature	17	8.725023520173325e-05
India	18	8.093632903251141e-05
Australia	19	8.041392079567292e-05
Personal_name	20	8.032342651904393e-05
Germany	21	7.753086527270643e-05
Departments_of_France_f3ab	22	7.589974689441315e-05
Studio_album	23	7.362933392668853e-05
Village	24	7.029640176461307e-05
2004	25	6.912129891369805e-05
Football_%28soccer%29	26	6.749146835843532e-05
Japan	27	6.74156155372113e-05
Record_producer	28	6.495002575361523e-05
English_language	29	5.874213576671127e-05
Politician	30	5.684700135860197e-05
Conservation_status	31	5.68164454677479e-05
2003	32	5.646988340896549e-05
Animal	33	4.998414524023941e-05
Population_density	34	4.994673260823004e-05
2001	35	4.9712478598542695e-05
London	36	4.944979073796222e-05
Europe	37	4.902795107119484e-05
Italy	38	4.858643528329776e-05
World_War_II_d045	39	4.803726399336073e-05
Website	40	4.784451450023501e-05
Album	41	4.763777668894575e-05
Romania	42	4.70321764176248e-05
2002	43	4.682609877738095e-05
Metre	44	4.68056899471703e-05
Wiktionary	45	4.6024175387204995e-05
Time_zone	46	4.324056655129289e-05
1999	47	4.321460173046415e-05
2000	48	4.307570031823772e-05
Public_domain	49	4.209447880571271e-05
Plant	50	4.088841821752118e-05
Square_mile	51	3.944297995994192e-05
Elevation	52	3.916491887828282e-05
Actor	53	3.905069304379394e-05
Spain	54	3.8875565660750705e-05
Area	55	3.8095104393039e-05
Square_kilometer	56	3.801672836256005e-05
1998	57	3.658053373433886e-05
Digital_object_identifier	58	3.6447019478375176e-05
Poland	59	3.6297574846703206e-05
Population	60	3.618604795945246e-05
Flowering_plant	61	3.607942025709711e-05
New_York_City_1428	62	3.600410431593944e-05
New_York_3da4	63	3.596055739868185e-05
California	64	3.567377028603708e-05
Sweden	65	3.5583025289309046e-05
Scotland	66	3.551448316389467e-05
Television	67	3.541685645837233e-05
Film	68	3.4976508319108877e-05
China	69	3.47978091707949e-05
Norway	70	3.461692640108079e-05
Animalia	71	3.4416253624563175e-05
Russia	72	3.3471307238757695e-05
1997	73	3.3176178115687214e-05
Brazil	74	3.3151090495700656e-05
1996	75	3.213597132746515e-05
List_of_countries	76	3.188088131999686e-05
Chordata	77	3.175414937717469e-05
New_Zealand_2311	78	3.1390821693068936e-05
All_Music_Guide_0e49	79	3.085946125906174e-05
Writer	80	3.079027181365991e-05
Foot_%28unit_of_length%29	81	3.0734391299195324e-05
Census	82	2.99483323998054e-05
Building	83	2.9913766862284723e-05
Netherlands	84	2.9843409503472942e-05
1995	85	2.961333726418187e-05
School	86	2.9611054385948752e-05
Tributary	87	2.9609126773950506e-05
Magnoliopsida	88	2.914040620462819e-05
Ireland	89	2.900363046403086e-05
Endemism	90	2.7490197450049095e-05
1994	91	2.6873174540247356e-05
Rock_music	92	2.680905440177542e-05
Poet	93	2.651164892951688e-05
Single_%28music%29	94	2.624636235744499e-05
1982	95	2.5982004321001174e-05
USA_f75d	96	2.5833792361531756e-05
1992	97	2.5756328282358517e-05
1991	98	2.557657467447792e-05
1990	99	2.5348462079592903e-05
Paris	100	2.53001404083677e-05
